id,url,date_posted,photos,locality,street,property_type,rooms,area_m2,owner_direct,price_total_zl,price_per_m2_zl,price_total_zl_cleaned,price_per_m2_zl_cleaned
3736692,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-2-pokojowe-33-m2-g9q4z2,ponad tydzień temu,8.0,Łódź Śródmieście,,Mieszkanie,2,33,True,240 000,7 273zł / m²,240000.0,7273.0
3736662,https://adresowo.pl/o/mieszkanie-lodz-gorna-ul-laczna-2-pokojowe-g5o0o0,ponad tydzień temu,8.0,Łódź Górna,ul. Łączna,Mieszkanie,2,53,True,440 000,8 302zł / m²,440000.0,8302.0
3736332,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-ul-andrzeja-struga-2-pokojowe-o6a2x5,ponad tydzień temu,11.0,Łódź Śródmieście,ul. Andrzeja Struga,Mieszkanie,2,53,True,584 000,10 936zł / m²,584000.0,10936.0
3736298,https://adresowo.pl/o/mieszkanie-lodz-polesie-ul-pienista-4-pokojowe-s0g7r4,ponad tydzień temu,14.0,Łódź Polesie,ul. Pienista,Mieszkanie,4,77,True,854 900,11 149zł / m²,854900.0,11149.0
3735720,https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-boya-zelenskiego-2-pokojowe-c4z6l1,ponad tydzień temu,9.0,Łódź Bałuty,ul. Boya-Żeleńskiego,Mieszkanie,2,38,True,300 000,7 895zł / m²,300000.0,7895.0
3735348,https://adresowo.pl/o/mieszkanie-lodz-gorna-ul-waleriana-lukasinskiego-3-pokojowe-v3h2k0,ponad tydzień temu,24.0,Łódź Górna,ul. Waleriana Łukasińskiego,Mieszkanie,3,87,True,1 100 000,12 644zł / m²,1100000.0,12644.0
3735126,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-ul-hm-aleksandra-kaminskiego-2-pokojowe-a0m7q4,ponad tydzień temu,8.0,Łódź Śródmieście,ul. hm. Aleksandra Kamińskiego,Mieszkanie,2,30,True,266 900,8 897zł / m²,266900.0,8897.0
3735042,https://adresowo.pl/o/mieszkanie-lodz-gorna-ul-stanislawa-brzozowskiego-2-pokojowe-h0y6r7,ponad tydzień temu,13.0,Łódź Górna,ul. Stanisława Brzozowskiego,Mieszkanie,2,43,True,370 000,8 605zł / m²,370000.0,8605.0
3734950,https://adresowo.pl/o/mieszkanie-lodz-retkinia-ul-przelajowa-4-pokojowe-f7q5p3,ponad tydzień temu,12.0,Łódź Retkinia,ul. Przełajowa,Mieszkanie,4,64,True,545 000,8 583zł / m²,545000.0,8583.0
3734968,https://adresowo.pl/o/mieszkanie-lodz-polesie-ul-cmentarna-3-pokojowe-x9e9x4,ponad tydzień temu,20.0,Łódź Polesie,ul. Cmentarna,Mieszkanie,3,120,True,990 000,8 250zł / m²,990000.0,8250.0
3734826,https://adresowo.pl/o/mieszkanie-lodz-gorna-2-pokojowe-50-m2-e8k9p4,ponad tydzień temu,8.0,Łódź Górna,,Mieszkanie,2,50,True,359 000,7 137zł / m²,359000.0,7137.0
