Lokalizacja,Ulica,Liczba Pokoi,Metraż (m²),Cena Całkowita (zł),Cena za m² (zł),Typ Oferty,Data Dodania,Liczba Zdjęć,Link do Oferty,Link do Zdjęcia
Łódź Górna,ul. Świętojańska,2,43,549000,12638,Bez pośredników,5 dni temu,13,https://adresowo.pl/o/mieszkanie-lodz-gorna-ul-swietojanska-2-pokojowe-r7l9j3,https://s2.adresowa.pl/oi/66/5a/39c2fa_d846_cover-2-pokojowe-mieszkanie-lodz-gorna-ul-swietojanska.jpg
Łódź Śródmieście,ul. Rewolucji 1905 r.,2,96,649000,6760,Oferta biura nieruchomości,ponad tydzień temu,19,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-ul-rewolucji-1905-r-2-pokojowe-r9s7e3,https://s2.adresowa.pl/oi/23/34/395b0e_c668_cover-2-pokojowe-mieszkanie-lodz-srodmiescie-ul-rewolucji-1905-r-.jpg
Łódź Karolew,ul. Bratysławska,2,36,259000,7277,Oferta biura nieruchomości,ponad tydzień temu,15,https://adresowo.pl/o/mieszkanie-lodz-karolew-ul-bratyslawska-2-pokojowe-u0g6d1,https://s2.adresowa.pl/oi/33/45/395662_794e_cover-2-pokojowe-mieszkanie-lodz-karolew-ul-bratyslawska.jpg
Łódź Polesie,ul. Wileńska,2,48,345000,7190,Bez pośredników,5 dni temu,15,https://adresowo.pl/o/mieszkanie-lodz-polesie-ul-wilenska-2-pokojowe-u0m6p9,https://s2.adresowa.pl/oi/69/27/39c2d6_752b_cover-2-pokojowe-mieszkanie-lodz-polesie-ul-wilenska.jpg
Łódź Polesie,ul. Andrzeja Struga,2,37,450000,12162,Bez pośredników,5 dni temu,6,https://adresowo.pl/o/mieszkanie-lodz-polesie-ul-andrzeja-struga-2-pokojowe-f8f4n9,https://s2.adresowa.pl/oi/14/47/39c2a6_6552_cover-2-pokojowe-mieszkanie-lodz-polesie-ul-andrzeja-struga.jpg
,,,,,,Pośrednik,,,,
,,,,,,Pośrednik,,,,
Łódź Teofilów,ul. Lniana,2,37,328000,8751,Bez pośredników,5 dni temu,8,https://adresowo.pl/o/mieszkanie-lodz-teofilow-ul-lniana-2-pokojowe-z4b8r3,https://s2.adresowa.pl/oi/22/7f/39c1d6_957f_cover-2-pokojowe-mieszkanie-lodz-teofilow-ul-lniana.jpg
Łódź,ul. Plantowa,2,45,409000,9089,Oferta biura nieruchomości,ponad tydzień temu,9,https://adresowo.pl/o/mieszkanie-lodz-ul-plantowa-2-pokojowe-f8c8y8,https://s2.adresowa.pl/oi/27/6d/39561a_a225_cover-2-pokojowe-mieszkanie-lodz-ul-plantowa.jpg
Łódź Widzew,ul. Złota,1,23,169000,7348,Oferta biura nieruchomości,ponad tydzień temu,15,https://adresowo.pl/o/mieszkanie-lodz-widzew-ul-zlota-1-pokoj-w5o1t7,https://s2.adresowa.pl/oi/56/15/395600_c755_cover-1-pokojowe-mieszkanie-lodz-widzew-ul-zlota.jpg
Łódź Górna,al. marsz. Edwarda Śmigłego-Rydza,2,36,320000,8818,Bez pośredników,5 dni temu,12,https://adresowo.pl/o/mieszkanie-lodz-gorna-al-marsz-edwarda-smiglego-rydza-2-pokojowe-o1t7v3,https://s2.adresowa.pl/oi/3c/3b/39c174_8ab8_cover-2-pokojowe-mieszkanie-lodz-gorna-al-marsz-edwarda-smiglego-rydza.jpg
Łódź Olechów,ul. Kazimierza Odnowiciela,4,103,947600,9200,Bez pośredników,5 dni temu,16,https://adresowo.pl/o/mieszkanie-lodz-olechow-ul-kazimierza-odnowiciela-4-pokojowe-b2x9j1,https://s2.adresowa.pl/oi/36/24/39c162_f31c_cover-4-pokojowe-mieszkanie-lodz-olechow-ul-kazimierza-odnowiciela.jpg
