Lokalizacja,Ulica,Liczba Pokoi,Metraż (m²),Cena Całkowita (zł),Cena za m² (zł),Typ Oferty,Data Dodania,Liczba Zdjęć,Link do Oferty,Link do Zdjęcia
Łódź Śródmieście,ul. Juliana Tuwima,2,45,496000,11022,Bez pośredników,5 dni temu,8,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-ul-juliana-tuwima-2-pokojowe-g2n1p9,https://s2.adresowa.pl/oi/61/51/39c030_f057_cover-2-pokojowe-mieszkanie-lodz-srodmiescie-ul-juliana-tuwima.jpg
,,,,,,Pośrednik,,,,
,,,,,,Pośrednik,,,,
Łódź Górna,ul. Bednarska,2,43,410000,9647,Oferta biura nieruchomości,ponad tydzień temu,12,https://adresowo.pl/o/mieszkanie-lodz-gorna-ul-bednarska-2-pokojowe-z3y5e0,https://s2.adresowa.pl/oi/4a/14/39520e_a8a1_cover-2-pokojowe-mieszkanie-lodz-gorna-ul-bednarska.jpg
Łódź Polesie,ul. Retkińska,2,32,309000,9656,Oferta biura nieruchomości,ponad tydzień temu,9,https://adresowo.pl/o/mieszkanie-lodz-polesie-ul-retkinska-2-pokojowe-j4a4u3,https://s2.adresowa.pl/oi/7e/2d/3951be_c3f0_cover-2-pokojowe-mieszkanie-lodz-polesie-ul-retkinska.jpg
Łódź Górna,ul. Władysława Broniewskiego,2,37,280000,7541,Bez pośredników,5 dni temu,13,https://adresowo.pl/o/mieszkanie-lodz-gorna-ul-wladyslawa-broniewskiego-2-pokojowe-s7c3l8,https://s2.adresowa.pl/oi/46/48/39bff0_e840_cover-2-pokojowe-mieszkanie-lodz-gorna-ul-wladyslawa-broniewskiego.jpg
Łódź Polesie,ul. Zielona,2,51,470000,9216,Bez pośredników,5 dni temu,3,https://adresowo.pl/o/mieszkanie-lodz-polesie-ul-zielona-2-pokojowe-g5l1s1,https://s2.adresowa.pl/oi/78/2a/39bfaa_8fe7_cover-2-pokojowe-mieszkanie-lodz-polesie-ul-zielona.jpg
Łódź Bałuty,ul. Andrzeja Radka,2,38,395000,10395,Bez pośredników,5 dni temu,18,https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-andrzeja-radka-2-pokojowe-v0f5e8,https://s2.adresowa.pl/oi/26/75/39bf62_2b69_cover-2-pokojowe-mieszkanie-lodz-baluty-ul-andrzeja-radka.jpg
Łódź Stare Polesie,ul. Srebrzyńska,2,33,345360,10516,Oferta biura nieruchomości,ponad tydzień temu,19,https://adresowo.pl/o/mieszkanie-lodz-stare-polesie-ul-srebrzynska-2-pokojowe-q0g9x7,https://s2.adresowa.pl/oi/32/6e/395154_5932_cover-2-pokojowe-mieszkanie-lodz-stare-polesie-ul-srebrzynska.jpg
Łódź Radogoszcz,ul. Syrenki,3,62,458360,7379,Oferta biura nieruchomości,ponad tydzień temu,10,https://adresowo.pl/o/mieszkanie-lodz-radogoszcz-ul-syrenki-3-pokojowe-m9f0l7,https://s2.adresowa.pl/oi/58/3a/395132_f99a_cover-3-pokojowe-mieszkanie-lodz-radogoszcz-ul-syrenki.jpg
Łódź Bałuty,ul. Inowrocławska,2,45,350000,7778,Bez pośredników,5 dni temu,14,https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-inowroclawska-2-pokojowe-m8m4w4,https://s2.adresowa.pl/oi/38/66/39bf58_a7ff_cover-2-pokojowe-mieszkanie-lodz-baluty-ul-inowroclawska.jpg
Łódź Bałuty,ul. Nad Sokołówką,3,68,763000,11299,Bez pośredników,5 dni temu,19,https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-nad-sokolowka-3-pokojowe-a4r4i2,https://s2.adresowa.pl/oi/18/26/39bf0c_8cd3_cover-3-pokojowe-mieszkanie-lodz-baluty-ul-nad-sokolowka.jpg
Łódź Widzew,ul. Józefa Elsnera,1,36,320000,8889,Bez pośredników,5 dni temu,9,https://adresowo.pl/o/mieszkanie-lodz-widzew-ul-jozefa-elsnera-1-pokoj-t5f0k2,https://s2.adresowa.pl/oi/56/17/39bed6_8487_cover-1-pokojowe-mieszkanie-lodz-widzew-ul-jozefa-elsnera.jpg
Łódź Górna,ul. Mieszczańska,3,62,429000,6919,Oferta biura nieruchomości,ponad tydzień temu,16,https://adresowo.pl/o/mieszkanie-lodz-gorna-ul-mieszczanska-3-pokojowe-p7q9v9,https://s2.adresowa.pl/oi/39/37/394aec_2e4f_cover-3-pokojowe-mieszkanie-lodz-gorna-ul-mieszczanska.jpg
Łódź Górna,ul. Lubelska,3,60,385000,6417,Oferta biura nieruchomości,ponad tydzień temu,7,https://adresowo.pl/o/mieszkanie-lodz-gorna-ul-lubelska-3-pokojowe-z1s7h4,https://s2.adresowa.pl/oi/61/4f/394a3a_4613_cover-3-pokojowe-mieszkanie-lodz-gorna-ul-lubelska.jpg
Łódź Retkinia,,1,28,349900,12496,Bez pośredników,6 dni temu,8,https://adresowo.pl/o/mieszkanie-lodz-retkinia-1-pokoj-28-m2-c8i1t0,https://s2.adresowa.pl/oi/57/2c/39bd00_a5ce_cover-1-pokojowe-mieszkanie-lodz-retkinia.jpg
Łódź Zarzew,ul. Stanisława Przybyszewskiego,3,59,599000,10153,Bez pośredników,6 dni temu,13,https://adresowo.pl/o/mieszkanie-lodz-zarzew-ul-stanislawa-przybyszewskiego-3-pokojowe-l5f1s6,https://s2.adresowa.pl/oi/23/52/39bc42_e885_cover-3-pokojowe-mieszkanie-lodz-zarzew-ul-stanislawa-przybyszewskiego.jpg
Łódź Polesie,ul. Górna,3,60,497000,8283,Bez pośredników,6 dni temu,20,https://adresowo.pl/o/mieszkanie-lodz-polesie-ul-gorna-3-pokojowe-d6z5a3,https://s2.adresowa.pl/oi/38/47/39bbc0_755b_cover-3-pokojowe-mieszkanie-lodz-polesie-ul-gorna.jpg
Łódź Olechów,,2,48,485000,10098,Oferta biura nieruchomości,ponad tydzień temu,7,https://adresowo.pl/o/mieszkanie-lodz-olechow-2-pokojowe-48-m2-x9l4n7,https://s2.adresowa.pl/oi/7a/18/394a1e_b687_cover-2-pokojowe-mieszkanie-lodz-olechow.jpg
Łódź Bałuty,ul. Krawiecka,2,42,304000,7194,Oferta biura nieruchomości,ponad tydzień temu,9,https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-krawiecka-2-pokojowe-u5s6g8,https://s2.adresowa.pl/oi/1b/68/394a04_f5e3_cover-2-pokojowe-mieszkanie-lodz-baluty-ul-krawiecka.jpg
Łódź Dąbrowa,,3,48,375000,7813,Bez pośredników,6 dni temu,8,https://adresowo.pl/o/mieszkanie-lodz-dabrowa-3-pokojowe-48-m2-g5z3m5,https://s2.adresowa.pl/oi/61/4c/39bba8_9110_cover-3-pokojowe-mieszkanie-lodz-dabrowa.jpg
Łódź Dąbrowa,ul. gen. Jarosława Dąbrowskiego,2,37,255000,6855,Bez pośredników,6 dni temu,4,https://adresowo.pl/o/mieszkanie-lodz-dabrowa-ul-gen-jaroslawa-dabrowskiego-2-pokojowe-d3h9l6,https://s2.adresowa.pl/oi/27/13/39bb80_fcad_cover-2-pokojowe-mieszkanie-lodz-dabrowa-ul-gen-jaroslawa-dabrowskiego.jpg
Łódź Widzew,ul. Telefoniczna,3,54,700000,12963,Bez pośredników,6 dni temu,12,https://adresowo.pl/o/mieszkanie-lodz-widzew-ul-telefoniczna-3-pokojowe-b2n8k6,https://s2.adresowa.pl/oi/58/2f/39bb4c_7c2b_cover-3-pokojowe-mieszkanie-lodz-widzew-ul-telefoniczna.jpg
Łódź Doły,al. Chryzantem,2,36,325000,9086,Oferta biura nieruchomości,ponad tydzień temu,9,https://adresowo.pl/o/mieszkanie-lodz-doly-al-chryzantem-2-pokojowe-l3u8d3,https://s2.adresowa.pl/oi/25/14/394394_9b23_cover-2-pokojowe-mieszkanie-lodz-doly-al-chryzantem.jpg
Łódź Bałuty,ul. Polna,2,45,425000,9472,Oferta biura nieruchomości,ponad tydzień temu,10,https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-polna-2-pokojowe-w9q0l6,https://s2.adresowa.pl/oi/63/26/3941fa_6461_cover-2-pokojowe-mieszkanie-lodz-baluty-ul-polna.jpg
Łódź Górna,ul. Kolumny,1,32,465000,14646,Bez pośredników,6 dni temu,8,https://adresowo.pl/o/mieszkanie-lodz-gorna-ul-kolumny-1-pokoj-v1p6l7,https://s2.adresowa.pl/oi/33/10/39ba10_6783_cover-1-pokojowe-mieszkanie-lodz-gorna-ul-kolumny.jpg
Łódź Olechów,,2,50,419000,8380,Bez pośredników,6 dni temu,7,https://adresowo.pl/o/mieszkanie-lodz-olechow-2-pokojowe-50-m2-b6y2v6,https://s2.adresowa.pl/oi/2d/2e/39b9ec_b5dd_cover-2-pokojowe-mieszkanie-lodz-olechow.jpg
Łódź Polesie,ul. Mahatmy Gandhiego,2,58,515000,8879,Bez pośredników,6 dni temu,12,https://adresowo.pl/o/mieszkanie-lodz-polesie-ul-mahatmy-gandhiego-2-pokojowe-x1f0j3,https://s2.adresowa.pl/oi/4f/28/39b9dc_6d16_cover-2-pokojowe-mieszkanie-lodz-polesie-ul-mahatmy-gandhiego.jpg
Łódź Górna,ul. Mazurska,3,56,390000,7027,Oferta biura nieruchomości,ponad tydzień temu,11,https://adresowo.pl/o/mieszkanie-lodz-gorna-ul-mazurska-3-pokojowe-r3h2z4,https://s2.adresowa.pl/oi/31/46/393b44_f903_cover-3-pokojowe-mieszkanie-lodz-gorna-ul-mazurska.jpg
Łódź,ul. Młynarska,4,88,655000,7477,Oferta biura nieruchomości,ponad tydzień temu,11,https://adresowo.pl/o/mieszkanie-lodz-ul-mlynarska-4-pokojowe-y6f5j3,https://s2.adresowa.pl/oi/51/5f/393702_d332_cover-4-pokojowe-mieszkanie-lodz-ul-mlynarska.jpg
Łódź Chojny,,3,54,435000,8039,Bez pośredników,6 dni temu,15,https://adresowo.pl/o/mieszkanie-lodz-chojny-3-pokojowe-54-m2-w1s7c1,https://s2.adresowa.pl/oi/16/64/39b93c_d6d0_cover-3-pokojowe-mieszkanie-lodz-chojny.jpg
Łódź Retkinia,,4,72,700000,9722,Bez pośredników,6 dni temu,20,https://adresowo.pl/o/mieszkanie-lodz-retkinia-4-pokojowe-72-m2-x4l5e4,https://s2.adresowa.pl/oi/29/58/39b936_e790_cover-4-pokojowe-mieszkanie-lodz-retkinia.jpg
Łódź Górna,ul. Rzgowska,4,81,759000,9401,Bez pośredników,6 dni temu,18,https://adresowo.pl/o/mieszkanie-lodz-gorna-ul-rzgowska-4-pokojowe-a4o5l8,https://s2.adresowa.pl/oi/2c/1b/397678_eb2b_cover-4-pokojowe-mieszkanie-lodz-gorna-ul-rzgowska.jpg
Łódź Widzew,ul. Niciarniana,2,45,339000,7530,Oferta biura nieruchomości,ponad miesiąc temu,19,https://adresowo.pl/o/mieszkanie-lodz-widzew-ul-niciarniana-2-pokojowe-g2d2r0,https://s2.adresowa.pl/oi/53/57/3934fc_2853_cover-2-pokojowe-mieszkanie-lodz-widzew-ul-niciarniana.jpg
Łódź Widzew,ul. Władysława Szafera,2,38,310000,8171,Oferta biura nieruchomości,ponad miesiąc temu,19,https://adresowo.pl/o/mieszkanie-lodz-widzew-ul-wladyslawa-szafera-2-pokojowe-r8n8t9,https://s2.adresowa.pl/oi/1f/67/3931ac_7634_cover-2-pokojowe-mieszkanie-lodz-widzew-ul-wladyslawa-szafera.jpg
Łódź Dąbrowa,ul. gen. Jarosława Dąbrowskiego,2,37,290000,7838,Bez pośredników,6 dni temu,1,https://adresowo.pl/o/mieszkanie-lodz-dabrowa-ul-gen-jaroslawa-dabrowskiego-2-pokojowe-j4l2h9,https://s2.adresowa.pl/oi/7e/54/39b7cc_89ce_cover-2-pokojowe-mieszkanie-lodz-dabrowa-ul-gen-jaroslawa-dabrowskiego.jpg
Łódź Bałuty,ul. Rajska,3,53,480000,9057,Bez pośredników,6 dni temu,16,https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-rajska-3-pokojowe-y8g9x8,https://s2.adresowa.pl/oi/28/2f/39b7ca_771e_cover-3-pokojowe-mieszkanie-lodz-baluty-ul-rajska.jpg
Łódź Żabieniec,ul. Turoszowska,3,44,450000,10227,Bez pośredników,ponad tydzień temu,18,https://adresowo.pl/o/mieszkanie-lodz-zabieniec-ul-turoszowska-3-pokojowe-i7v7o2,https://s2.adresowa.pl/oi/10/7a/39b760_329a_cover-3-pokojowe-mieszkanie-lodz-zabieniec-ul-turoszowska.jpg
Łódź Śródmieście,ul. Gdańska,5,125,699000,5614,Oferta biura nieruchomości,ponad miesiąc temu,13,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-ul-gdanska-5-pokojowe-e7u3g5,https://s2.adresowa.pl/oi/34/7b/392e82_b266_cover-5-pokojowe-mieszkanie-lodz-srodmiescie-ul-gdanska.jpg
Łódź,ul. Ignacego Paderewskiego,2,38,365000,9605,Oferta biura nieruchomości,ponad miesiąc temu,10,https://adresowo.pl/o/mieszkanie-lodz-ul-ignacego-paderewskiego-2-pokojowe-m0h5h3,https://s2.adresowa.pl/oi/2d/7d/392912_ec4a_cover-2-pokojowe-mieszkanie-lodz-ul-ignacego-paderewskiego.jpg
Łódź Widzew,ul. Michała Lermontowa,2,38,375000,9868,Bez pośredników,ponad tydzień temu,6,https://adresowo.pl/o/mieszkanie-lodz-widzew-ul-michala-lermontowa-2-pokojowe-x6b9o9,https://s2.adresowa.pl/oi/6f/6a/39b71c_9031_cover-2-pokojowe-mieszkanie-lodz-widzew-ul-michala-lermontowa.jpg
Łódź Bałuty,ul. Antoniego Mackiewicza,2,47,310000,6647,Bez pośredników,ponad tydzień temu,11,https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-antoniego-mackiewicza-2-pokojowe-c4w4z5,https://s2.adresowa.pl/oi/4f/7d/39b714_bb50_cover-2-pokojowe-mieszkanie-lodz-baluty-ul-antoniego-mackiewicza.jpg
Łódź Widzew,ul. Telefoniczna,3,50,625000,12500,Bez pośredników,ponad tydzień temu,13,https://adresowo.pl/o/mieszkanie-lodz-widzew-ul-telefoniczna-3-pokojowe-e4l1m4,https://s2.adresowa.pl/oi/67/56/39b2f4_e442_cover-3-pokojowe-mieszkanie-lodz-widzew-ul-telefoniczna.jpg
Łódź Bałuty,ul. Antoniego Mackiewicza,2,45,359000,7978,Oferta biura nieruchomości,ponad miesiąc temu,14,https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-antoniego-mackiewicza-2-pokojowe-u4c2g0,https://s2.adresowa.pl/oi/4d/16/3927ca_3400_cover-2-pokojowe-mieszkanie-lodz-baluty-ul-antoniego-mackiewicza.jpg
Łódź,ul. Pienista,3,69,690000,10016,Oferta biura nieruchomości,ponad miesiąc temu,12,https://adresowo.pl/o/mieszkanie-lodz-ul-pienista-3-pokojowe-l0k4c8,https://s2.adresowa.pl/oi/4f/71/392214_35e4_cover-3-pokojowe-mieszkanie-lodz-ul-pienista.jpg
Łódź Janów,ul. Jana Skrzetuskiego,3,62,749000,12081,Bez pośredników,ponad tydzień temu,8,https://adresowo.pl/o/mieszkanie-lodz-janow-ul-jana-skrzetuskiego-3-pokojowe-y2f5p8,https://s2.adresowa.pl/oi/35/5d/39b078_a8f2_cover-3-pokojowe-mieszkanie-lodz-janow-ul-jana-skrzetuskiego.jpg
Łódź Śródmieście,ul. Piotrkowska,3,67,525000,7857,Bez pośredników,ponad tydzień temu,8,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-ul-piotrkowska-3-pokojowe-g2s2l5,https://s2.adresowa.pl/oi/70/71/39afe0_c30e_cover-3-pokojowe-mieszkanie-lodz-srodmiescie-ul-piotrkowska.jpg
Łódź Górna,ul. Obywatelska,2,50,360000,7200,Bez pośredników,ponad tydzień temu,7,https://adresowo.pl/o/mieszkanie-lodz-gorna-ul-obywatelska-2-pokojowe-f4e3e9,https://s2.adresowa.pl/oi/2d/2b/39ab04_a6cd_cover-2-pokojowe-mieszkanie-lodz-gorna-ul-obywatelska.jpg
Łódź Bałuty,ul. Lutomierska,4,71,479000,6746,Oferta biura nieruchomości,ponad miesiąc temu,13,https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-lutomierska-4-pokojowe-y9e8p4,https://s2.adresowa.pl/oi/2f/42/391f50_fdf6_cover-4-pokojowe-mieszkanie-lodz-baluty-ul-lutomierska.jpg
Łódź Górna,,2,36,289000,8028,Oferta biura nieruchomości,ponad miesiąc temu,11,https://adresowo.pl/o/mieszkanie-lodz-gorna-2-pokojowe-36-m2-c4m0a5,https://s2.adresowa.pl/oi/42/71/391f30_e1d7_cover-2-pokojowe-mieszkanie-lodz-gorna.jpg
Łódź Chojny,,2,44,395000,8977,Bez pośredników,ponad tydzień temu,8,https://adresowo.pl/o/mieszkanie-lodz-chojny-2-pokojowe-44-m2-i0b6u0,https://s2.adresowa.pl/oi/1a/10/39aaa0_6eb2_cover-2-pokojowe-mieszkanie-lodz-chojny.jpg
Łódź Żubardź,ul. Mokra,2,47,490000,10403,Bez pośredników,ponad tydzień temu,9,https://adresowo.pl/o/mieszkanie-lodz-zubardz-ul-mokra-2-pokojowe-l6z0j2,https://s2.adresowa.pl/oi/7c/6e/39aa0a_90e4_cover-2-pokojowe-mieszkanie-lodz-zubardz-ul-mokra.jpg
Łódź Górna,ul. Maurycego Mochnackiego,3,54,459000,8453,Bez pośredników,ponad tydzień temu,20,https://adresowo.pl/o/mieszkanie-lodz-gorna-ul-maurycego-mochnackiego-3-pokojowe-l8m3z1,https://s2.adresowa.pl/oi/75/18/39a8aa_5369_cover-3-pokojowe-mieszkanie-lodz-gorna-ul-maurycego-mochnackiego.jpg
Łódź,ul. Gdańska,3,82,647000,7863,Oferta biura nieruchomości,ponad miesiąc temu,20,https://adresowo.pl/o/mieszkanie-lodz-ul-gdanska-3-pokojowe-s5f8b8,https://s2.adresowa.pl/oi/1a/44/391f16_fa47_cover-3-pokojowe-mieszkanie-lodz-ul-gdanska.jpg
Łódź Śródmieście,ul. Piotrkowska,2,45,399000,8867,Oferta biura nieruchomości,ponad miesiąc temu,13,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-ul-piotrkowska-2-pokojowe-a8l9z9,https://s2.adresowa.pl/oi/16/2f/391f10_51f7_cover-2-pokojowe-mieszkanie-lodz-srodmiescie-ul-piotrkowska.jpg
Łódź Chojny,ul. Wdzięczna,2,52,328000,6284,Bez pośredników,ponad tydzień temu,1,https://adresowo.pl/o/mieszkanie-lodz-chojny-ul-wdzieczna-2-pokojowe-j5e8e8,https://s2.adresowa.pl/oi/52/3d/39a81a_a1e1_cover-2-pokojowe-mieszkanie-lodz-chojny-ul-wdzieczna.jpg
Łódź Górna,ul. Adolfa Dygasińskiego,2,47,399000,8522,Bez pośredników,ponad tydzień temu,9,https://adresowo.pl/o/mieszkanie-lodz-gorna-ul-adolfa-dygasinskiego-2-pokojowe-j0q9j2,https://s2.adresowa.pl/oi/7b/49/39a722_8f12_cover-2-pokojowe-mieszkanie-lodz-gorna-ul-adolfa-dygasinskiego.jpg
Łódź Marysin,ul. Boya-Żeleńskiego,1,38,257333,6719,Bez pośredników,ponad tydzień temu,10,https://adresowo.pl/o/mieszkanie-lodz-marysin-ul-boya-zelenskiego-1-pokoj-g1i0z2,https://s2.adresowa.pl/oi/34/36/39a684_d4c6_cover-1-pokojowe-mieszkanie-lodz-marysin-ul-boya-zelenskiego.jpg
Łódź Śródmieście,park im. Jana Kilińskiego,1,13,173000,13308,Oferta biura nieruchomości,ponad miesiąc temu,12,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-park-im-jana-kilinskiego-1-pokoj-a3t0g6,https://s2.adresowa.pl/oi/22/38/391f0e_4cb6_cover-1-pokojowe-mieszkanie-lodz-srodmiescie-park-im-jana-kilinskiego.jpg
Łódź,ul. Emilii Plater,1,24,199900,8329,Oferta biura nieruchomości,ponad miesiąc temu,6,https://adresowo.pl/o/mieszkanie-lodz-ul-emilii-plater-1-pokoj-g6h2y0,https://s2.adresowa.pl/oi/26/3c/391390_40fe_cover-1-pokojowe-mieszkanie-lodz-ul-emilii-plater.jpg
Łódź Widzew,ul. Stanisława Czernika,3,62,492800,8000,Bez pośredników,ponad tydzień temu,19,https://adresowo.pl/o/mieszkanie-lodz-widzew-ul-stanislawa-czernika-3-pokojowe-f9k6a6,https://s2.adresowa.pl/oi/16/1c/39a50a_618a_cover-3-pokojowe-mieszkanie-lodz-widzew-ul-stanislawa-czernika.jpg
Łódź Bałuty,ul. Rysownicza,4,70,680000,9714,Bez pośredników,ponad tydzień temu,15,https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-rysownicza-4-pokojowe-w5i1t2,https://s2.adresowa.pl/oi/6c/33/39a150_7c15_cover-4-pokojowe-mieszkanie-lodz-baluty-ul-rysownicza.jpg
Łódź Teofilów,,1,25,230000,9200,Bez pośredników,ponad tydzień temu,5,https://adresowo.pl/o/mieszkanie-lodz-teofilow-1-pokoj-25-m2-d6d8x0,https://s2.adresowa.pl/oi/44/4d/399fb6_5c8f_cover-1-pokojowe-mieszkanie-lodz-teofilow.jpg
Łódź Śródmieście,ul. Andrzeja Struga,7,195,1075000,5513,Oferta biura nieruchomości,ponad miesiąc temu,7,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-ul-andrzeja-struga-7-pokojowe-q1p0h5,https://s2.adresowa.pl/oi/49/1a/390fa2_a8de_cover-7-pokojowe-mieszkanie-lodz-srodmiescie-ul-andrzeja-struga.jpg
Łódź Chojny,ul. Juliana Ursyna Niemcewicza,3,47,325000,6883,Oferta biura nieruchomości,ponad miesiąc temu,15,https://adresowo.pl/o/mieszkanie-lodz-chojny-ul-juliana-ursyna-niemcewicza-3-pokojowe-u7n9k3,https://s2.adresowa.pl/oi/5a/31/390378_3d1a_cover-3-pokojowe-mieszkanie-lodz-chojny-ul-juliana-ursyna-niemcewicza.jpg
Łódź Żabieniec,ul. Bolesława Limanowskiego,2,33,269000,8152,Bez pośredników,ponad tydzień temu,9,https://adresowo.pl/o/mieszkanie-lodz-zabieniec-ul-boleslawa-limanowskiego-2-pokojowe-t9x4w3,https://s2.adresowa.pl/oi/4c/66/399faa_7e14_cover-2-pokojowe-mieszkanie-lodz-zabieniec-ul-boleslawa-limanowskiego.jpg
Łódź Koziny,ul. Marcina Kasprzaka,1,23,227000,9870,Bez pośredników,ponad tydzień temu,7,https://adresowo.pl/o/mieszkanie-lodz-koziny-ul-marcina-kasprzaka-1-pokoj-j4k4v2,https://s2.adresowa.pl/oi/4c/30/399f8c_c41a_cover-1-pokojowe-mieszkanie-lodz-koziny-ul-marcina-kasprzaka.jpg
Łódź Śródmieście,ul. Piotrkowska,6,140,1000000,7143,Bez pośredników,ponad tydzień temu,13,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-ul-piotrkowska-6-pokojowe-v9v3o8,https://s2.adresowa.pl/oi/61/7d/399f78_3e04_cover-6-pokojowe-mieszkanie-lodz-srodmiescie-ul-piotrkowska.jpg
Łódź,ul. Bolesława Limanowskiego,2,36,259360,7204,Oferta biura nieruchomości,ponad miesiąc temu,10,https://adresowo.pl/o/mieszkanie-lodz-ul-boleslawa-limanowskiego-2-pokojowe-c4j4w4,https://s2.adresowa.pl/oi/28/1b/38ff1a_c1b5_cover-2-pokojowe-mieszkanie-lodz-ul-boleslawa-limanowskiego.jpg
Łódź,ul. Łanowa,1,26,198000,7615,Oferta biura nieruchomości,ponad miesiąc temu,3,https://adresowo.pl/o/mieszkanie-lodz-ul-lanowa-1-pokoj-c0h1d0,https://s2.adresowa.pl/oi/6d/63/38fbb4_9b46_cover-1-pokojowe-mieszkanie-lodz-ul-lanowa.jpg
Łódź Górna,ul. Augusta Cieszkowskiego,2,36,394000,10975,Bez pośredników,ponad tydzień temu,11,https://adresowo.pl/o/mieszkanie-lodz-gorna-ul-augusta-cieszkowskiego-2-pokojowe-e1s3w8,https://s2.adresowa.pl/oi/23/23/399e76_7714_cover-2-pokojowe-mieszkanie-lodz-gorna-ul-augusta-cieszkowskiego.jpg
Łódź Bałuty,ul. Gustawa Herlinga-Grudzińskiego,2,50,479000,9673,Bez pośredników,ponad tydzień temu,11,https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-gustawa-herlinga-grudzinskiego-2-pokojowe-w6z5b0,https://s2.adresowa.pl/oi/46/63/399db6_a72a_cover-2-pokojowe-mieszkanie-lodz-baluty-ul-gustawa-herlinga-grudzinskiego.jpg
Łódź Dąbrowa,ul. Zbaraska,2,36,268000,7444,Bez pośredników,ponad tydzień temu,8,https://adresowo.pl/o/mieszkanie-lodz-dabrowa-ul-zbaraska-2-pokojowe-p7m6v5,https://s2.adresowa.pl/oi/4c/25/399d32_fa95_cover-2-pokojowe-mieszkanie-lodz-dabrowa-ul-zbaraska.jpg
Łódź,ul. Piękna,3,48,415000,8646,Oferta biura nieruchomości,ponad miesiąc temu,50,https://adresowo.pl/o/mieszkanie-lodz-ul-piekna-3-pokojowe-y2u3t4,https://s2.adresowa.pl/oi/3a/7e/38fbae_bd82_cover-3-pokojowe-mieszkanie-lodz-ul-piekna.jpg
Łódź Bałuty,ul. Łanowa,2,38,255000,6800,Oferta biura nieruchomości,ponad miesiąc temu,8,https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-lanowa-2-pokojowe-e5e3m7,https://s2.adresowa.pl/oi/69/74/38f96c_7532_cover-2-pokojowe-mieszkanie-lodz-baluty-ul-lanowa.jpg
Łódź Dąbrowa,ul. Tatrzańska,3,93,670000,7220,Bez pośredników,ponad tydzień temu,12,https://adresowo.pl/o/mieszkanie-lodz-dabrowa-ul-tatrzanska-3-pokojowe-w8s4g3,https://s2.adresowa.pl/oi/4b/2a/399caa_679d_cover-3-pokojowe-mieszkanie-lodz-dabrowa-ul-tatrzanska.jpg
Łódź Teofilów,ul. Rojna,2,46,430000,9348,Bez pośredników,ponad tydzień temu,8,https://adresowo.pl/o/mieszkanie-lodz-teofilow-ul-rojna-2-pokojowe-y0m1u2,https://s2.adresowa.pl/oi/65/55/399afa_9a5f_cover-2-pokojowe-mieszkanie-lodz-teofilow-ul-rojna.jpg
Łódź Polesie,ul. Władysława Króla,2,42,400000,9524,Bez pośredników,ponad tydzień temu,6,https://adresowo.pl/o/mieszkanie-lodz-polesie-ul-wladyslawa-krola-2-pokojowe-l8f4m5,https://s2.adresowa.pl/oi/30/67/399af4_6595_cover-2-pokojowe-mieszkanie-lodz-polesie-ul-wladyslawa-krola.jpg
Łódź,ul. Wałbrzyska,3,60,1050000,17500,Oferta biura nieruchomości,ponad miesiąc temu,19,https://adresowo.pl/o/mieszkanie-lodz-ul-walbrzyska-3-pokojowe-o8i0r1,https://s2.adresowa.pl/oi/13/40/38f1c8_6a1e_cover-3-pokojowe-mieszkanie-lodz-ul-walbrzyska.jpg
Łódź Górna,ul. Radomska,2,50,349000,6944,Oferta biura nieruchomości,ponad miesiąc temu,14,https://adresowo.pl/o/mieszkanie-lodz-gorna-ul-radomska-2-pokojowe-d2y1i4,https://s2.adresowa.pl/oi/36/5b/38ec0e_fc32_cover-2-pokojowe-mieszkanie-lodz-gorna-ul-radomska.jpg
Łódź Bałuty,,2,44,360000,8182,Bez pośredników,ponad tydzień temu,8,https://adresowo.pl/o/mieszkanie-lodz-baluty-2-pokojowe-44-m2-m4j6z4,https://s2.adresowa.pl/oi/63/70/399a0a_df1c_cover-2-pokojowe-mieszkanie-lodz-baluty.jpg
Łódź Górna,ul. Ignacego Paderewskiego,2,37,349000,9432,Bez pośredników,ponad tydzień temu,5,https://adresowo.pl/o/mieszkanie-lodz-gorna-ul-ignacego-paderewskiego-2-pokojowe-o1p9i4,https://s2.adresowa.pl/oi/3b/4d/399916_ae58_cover-2-pokojowe-mieszkanie-lodz-gorna-ul-ignacego-paderewskiego.jpg
